"File","Path","Line","Match","Snippet"
"_snapshot.writer.page.tsx","C:\Users\81905\shopwriter-new\_snapshot.writer.page.tsx","637","secondary","variant=""secondary"""
"_snapshot.writer.page.tsx","C:\Users\81905\shopwriter-new\_snapshot.writer.page.tsx","684","ghost","variant=""ghost"""
"_snapshot.writer.page.tsx","C:\Users\81905\shopwriter-new\_snapshot.writer.page.tsx","695","secondary","variant=""secondary"""
"_snapshot.writer.page.tsx","C:\Users\81905\shopwriter-new\_snapshot.writer.page.tsx","765","outline","variant=""outline"""
"_tmp.writer.page.tsx","C:\Users\81905\shopwriter-new\_tmp.writer.page.tsx","637","secondary","variant=""secondary"""
"_tmp.writer.page.tsx","C:\Users\81905\shopwriter-new\_tmp.writer.page.tsx","684","ghost","variant=""ghost"""
"_tmp.writer.page.tsx","C:\Users\81905\shopwriter-new\_tmp.writer.page.tsx","695","secondary","variant=""secondary"""
"_tmp.writer.page.tsx","C:\Users\81905\shopwriter-new\_tmp.writer.page.tsx","765","outline","variant=""outline"""
"ClientPage.20251018-051923.tsx","C:\Users\81905\shopwriter-new\.backup-step8-3\ClientPage.20251018-051923.tsx","328","outline","<Button type=""button"" data-testid=""save-draft"" variant=""outline"" onClick={onManualSave}>"
"ClientPage.20251018-051923.tsx","C:\Users\81905\shopwriter-new\.backup-step8-3\ClientPage.20251018-051923.tsx","331","outline","<Button type=""button"" data-testid=""clear-draft"" variant=""outline"" onClick={onClear}>"
"ClientPage.20251018-051923.tsx","C:\Users\81905\shopwriter-new\.backup-step8-3\ClientPage.20251018-051923.tsx","341","default","<Button type=""button"" onClick={onGenerate} disabled={loading} variant=""default"">"
"ClientPage.20251018-051923.tsx","C:\Users\81905\shopwriter-new\.backup-step8-3\ClientPage.20251018-051923.tsx","353","outline","<Button type=""button"" onClick={onCopy} disabled={!output || loading} variant=""outline"" size=""sm"">"
"ClientPage.20251018-051923.tsx","C:\Users\81905\shopwriter-new\.backup-step8-3\ClientPage.20251018-051923.tsx","356","outline","<Button type=""button"" onClick={() => alert(""共有カード：別タスクで実装予定"")} variant=""outline"" size=""sm"">"
"page.backup-before-dialog-wrap.tsx","C:\Users\81905\shopwriter-new\app\(dashboard)\dashboard\templates\page.backup-before-dialog-wrap.tsx","203","secondary","{ver ? <Badge variant=""secondary"">API ver: {ver}</Badge> : null}"
"page.backup-before-dialog-wrap.tsx","C:\Users\81905\shopwriter-new\app\(dashboard)\dashboard\templates\page.backup-before-dialog-wrap.tsx","216","default","<Button variant=""default"" className=""rounded-2xl"">"
